Posted On,BHK,Rent_Floor,Total_Floors,Size,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Rent
2022-05-10,2,2,2,750,Super Area,Baughati,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,7000
2022-06-13,3,3,3,1200,Super Area,Bansdroni,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,20000
2022-07-03,1,0,2,400,Carpet Area,Salt Lake City Sector 5,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent,6500
2022-04-29,1,0,2,600,Carpet Area,Garfa,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,7500
2022-05-10,2,0,2,700,Super Area,Dum Dum,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,6500
2022-06-14,2,0,3,850,Super Area,Baguiati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,9500
2022-05-12,1,0,1,500,Super Area,Shyam Bazar,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1800
2022-06-25,2,0,2,650,Carpet Area,Baghajatin,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,7500
2022-06-17,2,0,3,800,Super Area,Bansdroni,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,10000
2022-06-17,3,3,4,830,Super Area,Dum Dum,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,15000
2022-07-06,2,0,2,600,Super Area,Keshtopur,Kolkata,Unfurnished,Bachelors,1,Contact Agent,7000
2022-04-27,2,1,2,800,Super Area,"Chandannagar, Hooghly-Chinsurah",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,6000
2022-06-02,2,0,1,1200,Super Area,"Sakuntala Park, Behala",Kolkata,Semi-Furnished,Family,2,Contact Owner,14000
2022-06-03,2,0,2,1000,Super Area,Jheel Road,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,22000
2022-06-29,2,0,2,750,Carpet Area,Salt Lake City Sector 1,Kolkata,Unfurnished,Bachelors/Family,2,Contact Agent,18000
2022-06-26,2,0,3,800,Carpet Area,Garia,Kolkata,Unfurnished,Bachelors,2,Contact Owner,10000
2022-06-10,2,0,3,1200,Super Area,Madhyam Gram,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,6000
2022-05-11,2,4,4,750,Carpet Area,"Kumarpara, Narendrapur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,10000
2022-06-10,3,11,19,1500,Super Area,Santoshpur,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,10000
2022-05-08,1,1,3,300,Super Area,"Noapara, Addarsha Pally",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,5000
2022-05-17,3,0,2,800,Carpet Area,"Arobindo Pally, Paschim Putiary",Kolkata,Unfurnished,Bachelors,1,Contact Owner,10000
2022-06-10,2,0,2,450,Super Area,Dum Dum,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,7000
2022-06-24,4,5,10,1200,Super Area,Naihati,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,10000
2022-06-10,2,11,14,500,Super Area,Howrah,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,6000
2022-06-26,2,0,1,900,Carpet Area,Garia,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,18000
2022-06-30,2,0,2,460,Carpet Area,Majarhati,Kolkata,Unfurnished,Bachelors,1,Contact Owner,8000
2022-06-22,2,2,3,530,Super Area,Baghajatin,Kolkata,Semi-Furnished,Family,1,Contact Owner,8000
2022-06-15,2,0,4,650,Carpet Area,Lake Gardens,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,13000
2022-05-08,2,0,1,700,Carpet Area,Salt Lake City Sector 2,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner,20000
2022-06-17,2,2,3,400,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,6000
2022-06-27,2,0,2,1000,Super Area,"Picnic Garden, Tiljala",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,12000
2022-06-04,1,0,2,400,Carpet Area,"New Garia, Garia",Kolkata,Semi-Furnished,Bachelors,1,Contact Owner,10000
2022-05-10,2,0,3,700,Carpet Area,Santoshpur,Kolkata,Unfurnished,Bachelors,2,Contact Owner,14000
2022-07-03,2,1,4,850,Carpet Area,Baranagar,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner,10000
2022-06-21,2,3,3,558,Carpet Area,Tollygunge,Kolkata,Unfurnished,Bachelors/Family,2,Contact Agent,10500
2022-06-08,2,3,4,800,Super Area,Thakurpukur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,6000
2022-06-10,2,1,2,900,Carpet Area,"Bansdroni Mauza, Krishnanagar",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,12000
2022-06-27,3,1,3,1600,Super Area,Ramrajatala,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,14000
2022-06-14,1,1,5,150,Carpet Area,Lake Gardens,Kolkata,Unfurnished,Bachelors,1,Contact Owner,3700
2022-06-06,3,0,3,1600,Carpet Area,Salt Lake City Sector 2,Kolkata,Unfurnished,Bachelors,2,Contact Agent,40000
2022-05-20,3,2,4,1000,Super Area,Rash Behari Avenue Connector,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,25000
2022-06-20,1,1,3,700,Super Area,Baranagar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2200
2022-04-28,1,0,2,175,Super Area,New Town,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,3300
2022-05-12,1,0,1,450,Super Area,"Siriti, Tollygunge",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,5000
2022-06-02,3,1,3,1700,Carpet Area,Salt Lake City,Kolkata,Semi-Furnished,Bachelors,3,Contact Agent,60000
2022-06-09,2,2,3,425,Carpet Area,Nimta,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,6000
2022-05-17,3,1,2,900,Super Area,"Michael Nagar, New Barrakpur",Kolkata,Semi-Furnished,Bachelors/Family,3,Contact Owner,7000
2022-05-28,1,4,4,400,Carpet Area,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,5000
2022-07-03,2,0,2,600,Super Area,Beliaghata,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,11000
2022-06-28,2,3,4,721,Super Area,Belgharia Nimta,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,10000
2022-07-06,3,1,2,1150,Carpet Area,Salt Lake City Sector 2,Kolkata,Unfurnished,Bachelors/Family,2,Contact Agent,22000
2022-06-05,3,0,2,2210,Carpet Area,"Vedic Village, Rajarhat",Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner,65000
2022-04-29,2,0,2,675,Super Area,Dum Dum,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,7500
2022-06-08,2,-1,2,1320,Super Area,Ballygunge,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,45000
2022-06-19,1,0,2,250,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,5000
2022-05-11,2,0,1,720,Super Area,Shyam Bazar,Kolkata,Unfurnished,Bachelors,2,Contact Owner,12000
2022-05-12,5,2,2,1880,Carpet Area,Dashdrone,Kolkata,Unfurnished,Bachelors,2,Contact Owner,25000
2022-05-29,3,1,1,850,Carpet Area,"Sangati Colony, Netaji Nagar",Kolkata,Semi-Furnished,Bachelors/Family,3,Contact Owner,18000
2022-06-29,2,1,1,1050,Carpet Area,"Sahapur, New Alipore",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,25000
2022-05-16,1,2,7,320,Super Area,"Shaheen Apartment, Andheri West",Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner,25000
2022-06-14,2,4,10,750,Carpet Area,Santacruz West,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,70000
2022-05-26,1,7,10,450,Carpet Area,"Rose Queen, Old Khar",Mumbai,Furnished,Bachelors/Family,1,Contact Agent,45000
2022-05-27,3,2,13,1100,Carpet Area,"Sabari Palm View, Chembur",Mumbai,Unfurnished,Family,3,Contact Agent,75000
2022-06-07,1,6,7,640,Super Area,Mira Road,Mumbai,Furnished,Bachelors/Family,1,Contact Owner,14000
2022-06-20,1,4,7,650,Super Area,"Siddhivinayak, Bandra West",Mumbai,Unfurnished,Bachelors,1,Contact Agent,60000
2022-06-20,2,14,14,800,Carpet Area,parivar safalya chs,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner,160000
2022-07-07,4,43,78,1600,Carpet Area,"Trump Tower, Worli",Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent,300000
2022-06-08,1,2,8,460,Super Area,Sion,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,22000
2022-07-07,4,13,18,1650,Carpet Area,"Ajmera Bhakti Park, Bhakti Park",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,130000
2022-06-02,1,2,4,480,Carpet Area,Sion Hospital Colony,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,33000
2022-05-27,1,1,4,500,Carpet Area,Sion,Mumbai,Furnished,Bachelors,2,Contact Agent,32000
2022-07-08,1,2,4,490,Carpet Area,"Sion East, Sion",Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,30000
2022-06-12,1,2,3,620,Super Area,"Sai Palace Apartment, Vile Parle West",Mumbai,Furnished,Bachelors/Family,1,Contact Owner,49000
2022-05-10,2,5,12,518,Carpet Area,Bhandup West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,28000
2022-05-13,2,4,7,700,Carpet Area,"Yogi Hills, Mulund West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,33500
2022-07-09,2,18,24,777,Carpet Area,"Hiranandani Castle Rock, Powai",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,85000
2022-07-06,2,6,7,650,Carpet Area,Charkop,Mumbai,Unfurnished,Family,2,Contact Agent,35000
2022-06-21,3,3,7,1800,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,270000
2022-07-04,5,17,31,2308,Carpet Area,"Runwal Elegante, Andheri West",Mumbai,Furnished,Family,5,Contact Agent,400000
2022-07-09,1,11,21,425,Carpet Area,"Godrej Tranquil, Kandivali East",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,21000
2022-05-25,2,7,19,890,Carpet Area,Cuffe Parade,Mumbai,Unfurnished,Bachelors,2,Contact Owner,150000
2022-06-05,1,14,23,270,Super Area,Mahim West,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,22000
2022-07-01,2,4,7,850,Carpet Area,Prabhadevi,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,100000
2022-07-09,2,9,20,888,Carpet Area,"Shapoorji Pallonji Vicinia, Chandivali",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,60000
2022-06-02,2,-1,9,650,Carpet Area,"Nakoda Heights, Nalasopara",Mumbai,Semi-Furnished,Family,2,Contact Agent,8000
2022-06-27,1,19,24,275,Carpet Area,Worli,Mumbai,Unfurnished,Bachelors,1,Contact Agent,20000
2022-06-14,2,3,21,700,Carpet Area,"Man Opus, Kashimira",Mumbai,Semi-Furnished,Family,2,Contact Agent,20000
2022-06-20,1,1,22,375,Super Area,Lal Baug,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,25000
2022-05-14,1,3,7,424,Super Area,Malad East,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner,14000
2022-06-04,1,8,8,400,Super Area,Goregaon West,Mumbai,Furnished,Bachelors/Family,2,Contact Owner,19411
2022-06-11,1,6,12,450,Carpet Area,"Dheeraj Hill View Tower, Thakur Village, Kandivali East",Mumbai,Furnished,Bachelors/Family,1,Contact Agent,23000
2022-07-09,4,4,58,2079,Carpet Area,"Bombay Dyeing Two ICC, Dadar East",Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent,190000
2022-06-13,2,0,4,586,Super Area,"Everard Nagar Co Operative Housing Society, Sion East",Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner,32000
2022-05-04,2,1,5,610,Carpet Area,shivsagar,Mumbai,Furnished,Bachelors/Family,2,Contact Owner,68000
2022-05-22,1,-1,16,488,Carpet Area,"Kyraa Ariso Apartment, Chembur",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,30000
2022-05-31,3,60,66,1200,Carpet Area,"Lodha Azzuro , Parel",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,110000
2022-07-09,2,34,48,722,Carpet Area,"Sheth Montana, Mulund West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,44000
2022-05-25,1,5,8,450,Carpet Area,"Gokul Regency Apartment, Thakur Complex",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,20000
2022-06-12,1,2,8,500,Super Area,Ghatkopar West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,25000
2022-07-09,2,5,14,680,Carpet Area,"NG Royal Park, Kanjurmarg East",Mumbai,Furnished,Bachelors,2,Contact Agent,40000
2022-07-09,2,14,40,1150,Carpet Area,"Montana Giona, Moti Nagar",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,43000
2022-06-22,2,2,2,830,Carpet Area,"Sapphire Heights, Lokhandwala Twp",Mumbai,Furnished,Bachelors,2,Contact Agent,44000
2022-05-23,1,5,7,550,Carpet Area,Bandra West,Mumbai,Furnished,Bachelors/Family,1,Contact Agent,75000
2022-05-14,1,6,7,470,Carpet Area,Central Area,Mumbai,Semi-Furnished,Family,2,Contact Agent,32000
2022-07-07,1,9,22,410,Carpet Area,Mira Bhayandar,Mumbai,Semi-Furnished,Family,2,Contact Agent,16000
2022-07-07,2,11,14,710,Carpet Area,"Ajmera Bhakti Park, Bhakti Park",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,65000
2022-05-27,2,12,18,750,Carpet Area,"Ajmera Bhakti Park, Bhakti Park",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,45000
2022-06-12,2,6,7,800,Carpet Area,Chembur,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,57000
2022-07-01,1,3,7,435,Carpet Area,Film City Road,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,27000
2022-05-30,1,26,44,500,Carpet Area,"Lodha New Cuffe Parade, Wadala",Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent,57000
2022-06-20,2,1,8,800,Carpet Area,"Evershine Grandeur, Mindspace",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,55000
2022-06-15,1,2,4,540,Carpet Area,Vile Parle East,Mumbai,Semi-Furnished,Family,2,Contact Agent,40000
2022-07-07,2,25,42,1050,Carpet Area,"Lodha New Cuffe Parade, Wadala East",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,95000
2022-06-30,2,25,41,700,Carpet Area,"Lodha New Cuffe Parade, Wadala",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,85000
2022-06-25,4,53,78,1600,Carpet Area,"Trump Tower, Worli",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,300000
2022-06-29,2,2,5,600,Carpet Area,Breach Candy,Mumbai,Furnished,Bachelors/Family,1,Contact Agent,80000
2022-06-23,1,0,7,300,Super Area,Malad West,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner,13000
2022-05-15,1,3,4,550,Carpet Area,"Ambika Siddhi Apartment, Ghatkopar",Mumbai,Unfurnished,Bachelors,2,Contact Owner,28000
2022-07-06,3,14,20,932,Carpet Area,Powai,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,89000
2022-05-27,1,13,20,450,Carpet Area,Dina Bama Estate,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,28000
2022-05-16,2,2,4,600,Carpet Area,Mira Road,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner,13000
2022-07-04,1,16,23,424,Carpet Area,"Sethia Kalpavruksh Heights, Irani Wada",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,24000
2022-07-06,2,0,3,560,Carpet Area,Andheri East,Mumbai,Furnished,Bachelors,2,Contact Owner,38000
2022-06-04,1,10,18,450,Carpet Area,Goregaon West,Mumbai,Unfurnished,Bachelors,2,Contact Agent,32000
2022-05-14,4,39,60,3000,Carpet Area,"Lodha World Crest, Lower Parel",Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent,350000
2022-06-06,1,3,7,600,Carpet Area,Lokhandwala Complex,Mumbai,Furnished,Family,2,Contact Agent,40000
2022-05-27,3,16,21,1400,Carpet Area,darshan ricco Tower,Mumbai,Furnished,Bachelors,3,Contact Agent,150000
2022-07-09,2,10,32,630,Carpet Area,Kanjurmarg West,Mumbai,Unfurnished,Bachelors,2,Contact Agent,45000
2022-07-02,3,4,8,1400,Carpet Area,Khar West,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,170000
2022-05-31,1,12,24,320,Super Area,Worli,Mumbai,Furnished,Family,1,Contact Owner,30000
2022-06-24,2,4,8,1000,Carpet Area,Bandra West,Mumbai,Unfurnished,Bachelors,2,Contact Agent,210000
2022-07-06,3,32,41,1150,Carpet Area,"Kanakia Levels, Malad East",Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,75000
2022-07-09,2,3,30,751,Carpet Area,"Kalpataru Towers, Akurli Nagar",Mumbai,Semi-Furnished,Family,2,Contact Agent,47000
2022-06-20,2,4,7,570,Carpet Area,"Kailash Tower, Nalasopara",Mumbai,Furnished,Family,2,Contact Agent,14000
2022-07-06,2,13,21,696,Carpet Area,Chandivali,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,55000
2022-07-09,4,9,29,1600,Carpet Area,"Anant Bhoomi, Mahavir Nagar",Mumbai,Unfurnished,Family,4,Contact Agent,120000
2022-07-06,3,47,89,2500,Carpet Area,"India Bulls Sky Forest, Lower Parel",Mumbai,Semi-Furnished,Bachelors,3,Contact Agent,300000
2022-07-06,3,7,41,1150,Carpet Area,"Kanakia Levels, Malad East",Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,70000
2022-06-03,3,7,10,1500,Carpet Area,"Almeida Park, Turner Road",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,150000
2022-06-16,3,6,7,950,Carpet Area,Bhakti Park,Mumbai,Furnished,Bachelors/Family,3,Contact Agent,62000
2022-05-18,2,11,21,750,Carpet Area,"RNA ROYALE PARK, Kandivali West",Mumbai,Unfurnished,Bachelors,2,Contact Agent,42000
2022-05-23,2,5,10,715,Carpet Area,Bandra West,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,130000
2022-05-14,3,28,30,1337,Carpet Area,"Oberoi Splendor Grande, Agarkar Chowk",Mumbai,Furnished,Bachelors/Family,3,Contact Agent,170000
2022-06-27,3,13,15,737,Carpet Area,"Ekta Parksville, Virar West",Mumbai,Semi-Furnished,Bachelors,3,Contact Agent,20000
2022-05-18,2,6,21,750,Carpet Area,"RNA ROYALE PARK, Kandivali West",Mumbai,Unfurnished,Bachelors,2,Contact Agent,41000
2022-06-03,2,4,7,760,Carpet Area,Prabhadevi,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,65000
2022-06-17,2,8,16,750,Carpet Area,"Green Park Apartment, Millat Nagar",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,50000
2022-07-01,2,2,6,650,Carpet Area,Breach Candy,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,85000
2022-05-31,2,4,7,1000,Super Area,Ghatkopar East,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,50000
2022-04-28,1,0,3,570,Carpet Area,Kurla West,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,30000
2022-07-04,2,5,19,900,Carpet Area,"Beach Towers, Prabhadevi",Mumbai,Semi-Furnished,Family,2,Contact Agent,120000
2022-07-09,2,3,11,760,Carpet Area,"Kolte Patil Jai Vijay, New Airport Colony",Mumbai,Unfurnished,Family,2,Contact Agent,60000
2022-07-09,3,17,42,1500,Carpet Area,"Lodha New Cuffe Parade, Bhakti Park",Mumbai,Unfurnished,Bachelors/Family,4,Contact Agent,110000
2022-07-04,3,10,12,1150,Carpet Area,Chembur East,Mumbai,Unfurnished,Family,3,Contact Agent,84500
2022-06-20,3,8,28,1100,Carpet Area,"HDIL Metropolis, 4 Bunglows",Mumbai,Semi-Furnished,Family,3,Contact Agent,80000
2022-05-18,3,9,15,1000,Carpet Area,"Heena Gaurav Jewels, Gokuldham",Mumbai,Furnished,Bachelors/Family,3,Contact Agent,50000
2022-06-13,2,14,22,720,Carpet Area,shabri shan,Mumbai,Unfurnished,Bachelors,2,Contact Agent,40000
2022-07-09,1,18,40,365,Carpet Area,Malad East,Mumbai,Furnished,Family,1,Contact Agent,34000
2022-07-09,4,9,17,2000,Carpet Area,Juhu Tara,Mumbai,Furnished,Bachelors/Family,4,Contact Agent,220000
2022-07-07,1,2,13,400,Carpet Area,"Mindspace, Mindspace",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,25000
2022-05-17,3,12,45,1330,Carpet Area,"Oberoi Esquire, Goregaon East",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,150000
2022-06-04,3,25,35,850,Carpet Area,"Oberoi Woods, Goregaon East",Mumbai,Semi-Furnished,Family,3,Contact Agent,85000
2022-06-25,4,4,14,2000,Carpet Area,"Vertical Bliss, Bandra West",Mumbai,Furnished,Bachelors/Family,5,Contact Agent,180000
2022-05-14,2,2,6,700,Carpet Area,Sher E Punjab Society,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,40000
2022-05-28,2,7,15,900,Carpet Area,Oshiwara,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,50000
2022-07-09,2,10,16,650,Carpet Area,"Nirmal Lifestyle, LBS Marg",Mumbai,Furnished,Family,2,Contact Agent,38000
2022-06-04,4,-1,20,2600,Carpet Area,Lokhandwala Complex,Mumbai,Unfurnished,Family,4,Contact Agent,310000
2022-06-30,2,5,14,680,Carpet Area,Chembur,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,50000
2022-07-06,3,-1,9,950,Carpet Area,Tilak Nagar - Harbour Line,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,65000
2022-05-18,4,5,20,1783,Carpet Area,GREEN PARK,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Owner,210000
2022-05-18,3,-1,40,1330,Carpet Area,Lodha Ajuro tower lalbag,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,150000
2022-06-10,1,1,8,565,Super Area,"Lake Bloom, Powai",Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner,32000
2022-05-26,1,4,8,450,Carpet Area,Kalina,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,26000
2022-06-08,2,5,18,710,Carpet Area,"Bhakti Park, Bhakti Park",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,60000
2022-07-09,3,34,58,1514,Carpet Area,"Bombay Dyeing Two ICC, Dadar East",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,190000
2022-06-16,3,5,8,1080,Carpet Area,Santacruz West,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,100000
2022-05-14,2,5,8,700,Carpet Area,"MUKTA MAHEK, Thakur Complex",Mumbai,Unfurnished,Family,2,Contact Agent,35000
2022-06-17,3,11,19,890,Carpet Area,"Kanakia Rainforest, Marol",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,68000
2022-07-08,3,5,8,1250,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,150000
2022-06-04,1,4,6,300,Super Area,Vile Parle West,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner,18000
2022-07-06,2,5,7,720,Carpet Area,"Dheeraj Swapna Apartment, Pali Hill",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,55000
2022-07-03,3,20,22,825,Carpet Area,Lokhandwala Complex,Mumbai,Furnished,Family,3,Contact Agent,65000
2022-06-04,2,1,5,500,Carpet Area,Vile Parle East,Mumbai,Furnished,Bachelors/Family,2,Contact Owner,80000
2022-07-06,2,12,19,750,Carpet Area,"Lake Florence, Powai",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,53000
2022-06-17,2,15,18,750,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,80000
2022-06-30,1,3,7,360,Carpet Area,"Anita, Lokhandwala Twp",Mumbai,Furnished,Bachelors/Family,1,Contact Agent,18000
2022-06-23,4,65,78,1545,Carpet Area,"Trump Tower, Worli",Mumbai,Semi-Furnished,Family,5,Contact Agent,250000
2022-07-07,1,4,4,400,Carpet Area,Evershine Nagar,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,17500
2022-07-09,3,6,16,750,Carpet Area,Mahavir Nagar,Mumbai,Unfurnished,Family,2,Contact Agent,43000
2022-05-26,1,5,8,432,Carpet Area,"Hiral Greens, Mira Road East",Mumbai,Unfurnished,Family,2,Contact Agent,13500
2022-05-23,2,17,22,780,Carpet Area,"Man Opus, Mira Road",Mumbai,Unfurnished,Family,2,Contact Agent,18000
2022-05-31,2,4,7,695,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent,75000
2022-07-07,1,6,24,375,Carpet Area,"Prasanna Vastu Chs, Jankalyan Nagar",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,18000
2022-06-08,3,40,75,1095,Carpet Area,"Lodha The Park, Worli",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,160000
2022-05-31,1,4,4,475,Carpet Area,Shri Swami Samarth Nagar,Mumbai,Semi-Furnished,Family,2,Contact Agent,32000
2022-06-07,2,9,15,790,Carpet Area,"Vijaya Heritage, Chembur",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,55000
2022-07-09,2,19,38,661,Carpet Area,"Runwal Forests, Kanjurmarg West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,47000
2022-06-21,2,5,7,700,Carpet Area,"Evershine Millenium Paradise, Thakur Village, Kandivali East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,35000
2022-06-08,1,6,7,420,Carpet Area,Dahisar East,Mumbai,Semi-Furnished,Family,1,Contact Agent,15000
2022-07-03,2,5,7,750,Carpet Area,D.N. Nagar,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,50000
2022-05-25,2,0,4,950,Super Area,Dhanukar Wadi,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Owner,25500
2022-07-04,5,15,31,1880,Carpet Area,"Runwal Elegante, Andheri West",Mumbai,Furnished,Family,5,Contact Agent,350000
2022-06-09,3,11,28,1350,Carpet Area,"Ekta Meadows, Borivali East",Mumbai,Furnished,Bachelors/Family,3,Contact Agent,55000
2022-06-04,1,4,6,330,Super Area,Mazgaon,Mumbai,Semi-Furnished,Family,1,Contact Owner,25000
2022-06-04,2,8,16,750,Carpet Area,"Safal Saraswati, Chembur",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,50000
2022-06-12,2,10,22,925,Carpet Area,"MJ Shah Centrio, Chembur",Mumbai,Furnished,Bachelors/Family,3,Contact Agent,65000
2022-05-14,3,17,24,1150,Carpet Area,"Benzer Tower, Thakur Complex",Mumbai,Semi-Furnished,Family,3,Contact Agent,50000
2022-06-17,3,15,19,1105,Carpet Area,"Hillcrest, Chakala MIDC",Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,65000
